Node Number	Directional Heat Flux (W/m²)
5929	1.4229e-007
5930	-5.4335e-007
5931	-5.6567e-007
5932	3.1498e-008
5933	-5.3821e-007
5934	-1.4948e-008
5935	1.4296e-007
5936	-3.8053e-007
5937	-6.6542e-007
5938	4.5648e-008
5939	-4.8723e-007
5940	-1.5155e-008
5941	1.6657e-008
5942	-1.8891e-008
5943	-5.169e-007
5944	2.124e-007
5945	1.8429e-007
5946	1.3337e-007
5947	1.3163e-007
5948	-1.7122e-007
5949	-4.1548e-007
5950	-2.9372e-007
5951	-1.432e-007
5952	1.5364e-007
5953	-5.77e-007
5954	-3.2854e-007
5955	-3.7559e-008
5956	9.3303e-008
5957	-2.3539e-007
5958	-3.3908e-007
5959	3.4703e-007
5960	2.0036e-007
5961	1.9045e-007
5962	5.9792e-008
5963	-4.9761e-007
5964	-5.3364e-007
5965	-1.078e-007
5966	-3.8343e-007
5967	-2.3288e-007
5968	1.894e-007
5969	1.8874e-007
5970	1.6729e-007
5971	6.4491e-007
5972	-9.968e-008
5973	6.0896e-007
5974	-1.1267e-007
5975	-2.0638e-007
5976	2.6569e-007
5977	5.9775e-007
5978	-2.3887e-007
5979	-2.6118e-007
5980	-2.0137e-007
5981	6.08e-007
5982	-2.3372e-007
5983	2.8954e-007
5984	6.6097e-007
5985	-1.0914e-008
5986	2.022e-007
5987	-2.958e-007
5988	-2.3906e-008
5989	4.74e-007
5990	5.182e-007
5991	4.0539e-007
5992	3.5446e-007
5993	3.5272e-007
5994	7.0738e-007
5995	1.295e-007
5996	3.5513e-007
5997	4.013e-007
5998	3.3269e-007
5999	2.8002e-007
6000	8.3276e-007
6001	1.2685e-007
6002	2.4861e-007
6003	4.7424e-007
6004	6.4973e-007
6005	4.1783e-007
6006	3.9913e-007
6007	9.7837e-007
6008	-1.1535e-007
6009	1.3312e-007
6010	6.56e-007
6011	4.2409e-007
6012	4.1418e-007
6013	1.0486e-006
6014	1.2769e-007
6015	2.4001e-008
6016	7.5428e-007
6017	7.9534e-007
6018	5.5353e-007
6019	8.03e-007
6020	9.4623e-008
6021	5.8594e-008
6022	6.8519e-007
6023	6.1709e-007
6024	5.1624e-007
6025	4.8443e-007
6026	-2.3246e-007
6027	-8.1907e-008
6028	-1.7265e-007
6029	4.4057e-007
6030	4.1384e-007
6031	3.3971e-007
6032	3.1826e-007
6033	-1.0404e-006
6034	-8.622e-007
6035	-3.9013e-007
6036	-1.0691e-006
6037	-1.0416e-006
6038	-5.1836e-007
6039	-9.4084e-007
6040	-5.1922e-007
6041	-5.4067e-007
6042	-8.2631e-007
