Node Number	Total Deformation (m)
5925	2.4094e-008
5926	2.356e-008
5927	2.385e-008
5928	2.3838e-008
5929	2.2817e-008
5930	2.2386e-008
5931	2.2673e-008
5932	2.2178e-008
5933	2.2112e-008
5934	2.2401e-008
5935	2.365e-008
5936	2.3256e-008
5937	2.3515e-008
5938	2.3036e-008
5939	2.2976e-008
5940	2.3165e-008
5941	2.4109e-008
5942	2.3963e-008
5943	2.3775e-008
5944	2.3559e-008
5945	2.355e-008
5946	2.344e-008
5947	2.3837e-008
5948	2.4334e-008
5949	2.4211e-008
5950	2.4123e-008
5951	2.4013e-008
5952	2.4287e-008
5953	2.4224e-008
5954	2.4248e-008
5955	2.3948e-008
5956	2.3978e-008
5957	2.3999e-008
5958	2.4132e-008
5959	2.3856e-008
5960	2.3855e-008
5961	2.3773e-008
5962	2.3457e-008
5963	2.357e-008
5964	2.3793e-008
5965	2.356e-008
5966	2.3002e-008
5967	2.328e-008
5968	2.2918e-008
5969	2.2974e-008
5970	2.2729e-008
5971	2.3298e-008
5972	2.3106e-008
5973	2.2799e-008
5974	2.3015e-008
5975	2.2837e-008
5976	2.3016e-008
5977	2.2514e-008
5978	2.2266e-008
5979	2.2542e-008
5980	2.225e-008
5981	2.1996e-008
5982	2.2003e-008
5983	2.2282e-008
5984	2.3691e-008
5985	2.3356e-008
5986	2.3765e-008
5987	2.3578e-008
5988	2.3242e-008
5989	2.3435e-008
5990	2.3324e-008
5991	2.3354e-008
5992	2.3244e-008
5993	2.364e-008
5994	2.3925e-008
5995	2.391e-008
5996	2.3723e-008
5997	2.3592e-008
5998	2.3514e-008
5999	2.3801e-008
6000	2.3971e-008
6001	2.4057e-008
6002	2.4008e-008
6003	2.379e-008
6004	2.3787e-008
6005	2.3761e-008
6006	2.3871e-008
6007	2.3822e-008
6008	2.4002e-008
6009	2.4055e-008
6010	2.3752e-008
6011	2.3735e-008
6012	2.3651e-008
6013	2.3497e-008
6014	2.3753e-008
6015	2.3901e-008
6016	2.3485e-008
6017	2.3643e-008
6018	2.3531e-008
6019	2.3041e-008
6020	2.334e-008
6021	2.3564e-008
6022	2.3293e-008
6023	2.3037e-008
6024	2.3044e-008
6025	2.3331e-008
6026	2.282e-008
6027	2.309e-008
6028	2.251e-008
6029	2.2794e-008
6030	2.2647e-008
6031	2.2793e-008
6032	2.2548e-008
6033	2.3415e-008
6034	2.2876e-008
6035	2.3065e-008
6036	2.257e-008
6037	2.2009e-008
6038	2.2298e-008
6039	2.3138e-008
6040	2.2831e-008
6041	2.2586e-008
6042	2.3631e-008
6043	2.3102e-008
6044	2.3389e-008
6045	2.398e-008
6046	2.3605e-008
6047	2.414e-008
6048	2.3817e-008
6049	2.3733e-008
6050	2.4091e-008
6051	2.3846e-008
6052	2.3955e-008
6053	2.3839e-008
6054	2.388e-008
6055	2.342e-008
6056	2.331e-008
6057	2.3706e-008
6058	2.2222e-008
6059	2.2046e-008
6060	2.2346e-008
6061	2.2137e-008
6062	2.2184e-008
6063	2.293e-008
6064	2.2747e-008
6065	2.3036e-008
6066	2.2839e-008
6067	2.2779e-008
6068	2.1425e-008
6069	2.1354e-008
6070	2.1247e-008
